DENOMINACION;FINANCIAMIENTO;CATEGORIA;NOMBRE AUTORIDAD;TELEFONO INSTITUCIONAL;CORREO ELECTRONICO;PROVINCIA;CIUDAD;DIRECCION
"ESCUELA POLITECNICA
NACIONAL";PUBLICA;A;"JAIME ALFONSO
CALDERON SEGOVIA";2507144 / 2508959;correo.general@epn.edu.ec;PICHINCHA;QUITO;"LADRON DE GUEVARA E-11-253"
ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;PUBLICA;B;ROSA ELENA PINOS NEIRA;03 2 998-200;info@live.espoch.edu.ec;CHIMBORAZO;RIOBAMBA;PANAMERICANA SUR KM1 1/2 RIOBAMBA ECUADOR
ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI;PUBLICA;C;QUINCHE LEONARDO FELIX LOPEZ;"05-2 685-134/156 , ext.
114, 115;  5-2685048/035";espam@espam.edu.ec;MANABI;CALCETA;10 DE AGOSTO 82 Y GRANDA CENTENO
UNIVERSIDAD CENTRAL DEL ECUADOR;PUBLICA;B;FERNANDO EFRAIN SEMPERTEGUI ONTANEDA;2226080 /2521-590;"rectorado@ucee.edu.ec; fercempt@viociencias.ceb.org";PICHINCHA;QUITO;CIUDADELA UNIVERSITARIA, AV. AMERICA Y PEREZ GUERRERO
UNIVERSIDAD DE GUAYAQUIL;PUBLICA;D;HECTOR ROBERTO CASSIS MARTINEZ;04 2281559, 2296580;ugrector@uge.edu.ec;GUAYAS;GUAYAQUIL;CIUDADELA UNIVERSITARIA, SALVADOR ALLENDE Y MALECON DEL SALADO
UNIVERSIDAD DE CUENCA;PUBLICA;B;"CESAR FABIAN CARRASCO
CASTRO";"0474051000, 4051002, ext.
1105";secretaria.rector@ucuenca.edu.ec;AZUAY;CUENCA;"AV. 12 DE ABRIL Y AGUSTIN
CUEVA � CAMPUS CENTRAL"
UNIVERSIDAD NACIONAL DE LOJA;PUBLICA;B;GUSTAVO ENRIQUE VILLACIS RIVAS;72547252;rector@unl.edu.ec;LOJA;LOJA;"AV. PIO JARAMILLO Y
REINALDO ESPINOZA, SECTOR LA ARGELIA"
"UNIVERSIDAD TECNICA DE
MANABI";PUBLICA;C;"VICENTE FELIX VELIZ
BRIONES";05 2632677/ 2632692;rectorado@utm.edu.ec;MANABI;PORTOVIEJO;AV. URBINA Y CHE GUEVARA
UNIVERSIDAD TECNICA DE AMBATO;PUBLICA;B;GALO OSWALDO NARANJO LOPEZ;"(03) 2 523039/2520825 ext.
104,105 Dir. AcadEmica. 222/178";utarectorado@uta.edu.ec;TUNGURAHUA;AMBATO;CAMPUS INGAHURCO: AV. COLOMBIA Y CHILE. CAMPUS HUACHI: AV. LOS CHASQUIS. CAMPUS QUEROCHACA: CANTON CEVALLOS.
UNIVERSIDAD TECNICA DE MACHALA;PUBLICA;D;CESAR JAVIER QUEZADA ABAD;"072983 362 / 72983 364 /
72983 365 / 72983 366 /
72983 368 / 72983 371";utm@utmachala.edu.ec;EL ORO;MACHALA;AV. PANAMERICANA KM 5 1/2 VIA A PASAJE
"UNIVERSIDAD TECNICA LUIS VARGAS TORRES DE
ESMERALDAS";PUBLICA;D;LUIS FELIPE PACHECO LUQUE;(593) - 06 - 2461701/2460702;rector@utelvt.edu.ec;ESMERALDAS;ESMERALDAS;AV. KENNEDY 704 E HILDA PADILLA, SECTOR LAS PALMAS
UNIVERSIDAD TECNICA DE BABAHOYO;PUBLICA;C;RAFAEL OBDULIO FALCONI MONTALVAN;05 2 570 368,  570808;rectorado@utb.edu.ec;LOS RIOS;BABAHOYO;"CDLA. UNIVERSITARIA, AV.
UNIVERSITARIA (VIA BABAHOYO MONTALVO)."
