NOMBRE;LINK
CORPORACION FAVORITA C.A.;https://ec.linkedin.com/company/corporacionfavorita?trk=companies_directory
ECUACORRIENTE  ;https://www.linkedin.com/company/ecuacorriente-s.a./
AURELIAN ECUADOR;https://www.linkedin.com/company/lundin-gold/?originalSubdomain=ec
SHAYA ECUADOR  ;
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES   CONECEL;https://ec.linkedin.com/company/conecel?trk=companies_directory
CONSORCIO SHUSHUFINDI  ;
CORPORACION QUIPORT  ;https://ec.linkedin.com/company/quiport?trk=companies_directory
CORPORACION EL ROSADO  ;https://ec.linkedin.com/company/elrosado?trk=companies_directory
HIDALGO E HIDALGO  ;https://www.linkedin.com/company/grupo-hidalgo-e-hidalgo/
OTECEL  ;https://www.linkedin.com/company/movistarecuador/people/?facetGeoRegion=ec%3A0
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA;https://ec.linkedin.com/company/pronaca?trk=companies_directory
INDUSTRIAL PESQUERA SANTA PRISCILA  ;https://ec.linkedin.com/company/santapriscilaec?trk=companies_directory
SCHLUMBERGER DEL ECUADOR  ;https://www.linkedin.com/company/schlumberger/people/?facetGeoRegion=ec%3A0&keywords=ecuador
HOLCIM ECUADOR  ;https://ec.linkedin.com/company/holcim-ecuador?trk=companies_directory
TIENDAS INDUSTRIALES ASOCIADAS TIA  ;https://ec.linkedin.com/company/almacenestia?trk=companies_directory
UNIÓN CEMENTERA NACIONAL, UCEM  ;https://ec.linkedin.com/company/union-cementera-nacional-s-a?trk=companies_directory
INMOBILIARIA MOTKE  ;
DPWORLD POSORJA  ;https://www.linkedin.com/company/dp-world/people/?facetGeoRegion=ec%3A0
LA FABRIL  ;https://ec.linkedin.com/company/la-fabril-s-a?trk=companies_directory
CERVECERIA NACIONAL CN  ;https://ec.linkedin.com/company/cervecerianacional?trk=companies_directory
ACERIA DEL ECUADOR CA ADELCA.;https://ec.linkedin.com/company/adelca?trk=companies_directory
ANDES PETROLEUM ECUADOR LTD.;https://www.linkedin.com/company/andes-petroleum-company/?originalSubdomain=ec
PDVSA ECUADOR  ;
COMPANIA GENERAL DE COMERCIO Y MANDATO SOCIEDAD ANONIMA;https://www.linkedin.com/company/comandato-s-a/people/?facetGeoRegion=ec%3A0
DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE)  ;https://ec.linkedin.com/company/grupo-difare?trk=companies_directory
EMPACADORA GRUPO GRANMAR   EMPAGRAN;https://ec.linkedin.com/company/empagran?trk=companies_directory
