,NOMBRE,LINK
0,CORPORACION FAVORITA C.A.,https://ec.linkedin.com/company/corporacionfavorita?trk=companies_directory
1,ECUACORRIENTE ,https://www.linkedin.com/company/ecuacorriente-s.a./
2,AURELIAN ECUADOR,https://www.linkedin.com/company/lundin-gold/?originalSubdomain=ec
4,CONSORCIO ECUATORIANO DE TELECOMUNICACIONES  CONECEL,https://ec.linkedin.com/company/conecel?trk=companies_directory
6,CORPORACION QUIPORT ,https://ec.linkedin.com/company/quiport?trk=companies_directory
7,CORPORACION EL ROSADO ,https://ec.linkedin.com/company/elrosado?trk=companies_directory
8,HIDALGO E HIDALGO ,https://www.linkedin.com/company/grupo-hidalgo-e-hidalgo/
9,OTECEL ,https://www.linkedin.com/company/movistarecuador/people/?facetGeoRegion=ec%3A0
10,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,https://ec.linkedin.com/company/pronaca?trk=companies_directory
11,INDUSTRIAL PESQUERA SANTA PRISCILA ,https://ec.linkedin.com/company/santapriscilaec?trk=companies_directory
12,SCHLUMBERGER DEL ECUADOR ,https://www.linkedin.com/company/schlumberger/people/?facetGeoRegion=ec%3A0&keywords=ecuador
13,HOLCIM ECUADOR ,https://ec.linkedin.com/company/holcim-ecuador?trk=companies_directory
14,TIENDAS INDUSTRIALES ASOCIADAS TIA ,https://ec.linkedin.com/company/almacenestia?trk=companies_directory
15,"UNION CEMENTERA NACIONAL, UCEM ",https://ec.linkedin.com/company/union-cementera-nacional-s-a?trk=companies_directory
17,DPWORLD POSORJA ,https://www.linkedin.com/company/dp-world/people/?facetGeoRegion=ec%3A0
18,LA FABRIL ,https://ec.linkedin.com/company/la-fabril-s-a?trk=companies_directory
19,CERVECERIA NACIONAL CN ,https://ec.linkedin.com/company/cervecerianacional?trk=companies_directory
20,ACERIA DEL ECUADOR CA ADELCA.,https://ec.linkedin.com/company/adelca?trk=companies_directory
21,ANDES PETROLEUM ECUADOR LTD.,https://www.linkedin.com/company/andes-petroleum-company/?originalSubdomain=ec
23,COMPANIA GENERAL DE COMERCIO Y MANDATO SOCIEDAD ANONIMA,https://www.linkedin.com/company/comandato-s-a/people/?facetGeoRegion=ec%3A0
24,DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE) ,https://ec.linkedin.com/company/grupo-difare?trk=companies_directory
25,EMPACADORA GRUPO GRANMAR  EMPAGRAN,https://ec.linkedin.com/company/empagran?trk=companies_directory
26,SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA,https://ec.linkedin.com/company/sociedad-agr-cola-e-industrial-san-carlos-?trk=companies_directory
27,NEGOCIOS INDUSTRIALES REAL N.I.R. ,https://ec.linkedin.com/company/negocios-industriales-real-nirsa-s-a?trk=companies_directory
28,REYBANPAC REY BANANO DEL PACIFICO C.L.,https://www.linkedin.com/company/reybanpac/?originalSubdomain=ec
30,ALMACENES DE PRATI SA,https://ec.linkedin.com/company/almacenes-de-prati-?trk=companies_directory
31,PTIE- PHOENIX TOWER INTERNATIONAL ECUADOR ,https://www.linkedin.com/company/phoenix-tower-international/?originalSubdomain=ec
32,GISIS ,https://ec.linkedin.com/company/gisis-s-a-?trk=companies_directory
33,INTERNATIONAL WATER SERVICES ( GUAYAQUIL ) INTERAGUA C. LTDA.,https://ec.linkedin.com/company/interagua-ec?trk=companies_directory
34,ENAP SIPETROL ,https://www.linkedin.com/company/enap-sipetrol-s.a./?originalSubdomain=ec
35,ALMACENES JUAN ELJURI CIA. LTDA.,https://ec.linkedin.com/company/juaneljuri?trk=companies_directory
38,GERARDO ORTIZ E HIJOS C LTDA,https://www.linkedin.com/company/gerardo-ortiz-e-hijos/
39,SUDAMERICANA INTEGRAL DE CONSTRUCCIONES SUDINCO ,https://www.linkedin.com/in/sudamericana-integral-de-construcciones-sudinco-s-a-85a505171/?originalSubdomain=ec
41,PLUSPETROL ECUADOR B.V.,https://www.linkedin.com/company/pluspetrol/?originalSubdomain=ec
42,CNPC CHUANQING DRILLING ENGINEERING COMPANY LIMITED,https://www.linkedin.com/company/cnpc-chuanqing-drilling-engineering-company-limited-ccdc-/?originalSubdomain=ec
43,HALLIBURTON LATIN AMERICA S.R.L.,https://www.linkedin.com/company/halliburton/?originalSubdomain=ec
44,CONTECON GUAYAQUIL ,https://ec.linkedin.com/company/contecon-guayaquil?trk=companies_directory
