,Unnamed: 0,Universidad de Guayaquil,Universidad de Las Américas (EC),Universidad Politécnica Salesiana,Universidad Técnica Particular de Loja,Universidad Central del Ecuador,UNIVERSIDAD UTE,Universidad de las Fuerzas Armadas - ESPE,Universidad Internacional del Ecuador,Universidad Católica de Santiago de Guayaquil,Universidad Técnica de Ambato,Escuela Superior Politécnica del Litoral,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,Pontificia Universidad Católica del Ecuador,Universidad San Francisco de Quito,Universidad Laica 'Vicente Rocafuerte de Guayaquil,Universidad Nacional de Loja,Escuela Politécnica Nacional,Universidad del Azuay,UNIR - La Universidad en Internet,Universidad de Cuenca,Escuela Superior Politécnica de Chimborazo,Universidad Metropolitana (EC),Universidad de Viña del Mar,Nanjing University,Universidad Internacional SEK,Universidad Camilo José Cela,Universidad Espíritu Santo,Tecnológico de Monterrey,Universidad ECOTEC,Universidad Tecnológica Empresarial de Guayaquil,Universidad Técnica Federico Santa María,ITAérea Aeronautical Business School,Universidad Andina Simón Bolívar Ecuador,Pontificia Universidad Católica Argentina 'Santa María de los Buenos Aires',Concordia University,Universidad Estatal de Milagro,Universidad Casa Grande,Universidad Agraria del Ecuador,Universidad Técnica de Machala,Universidad Católica de Cuenca,Servicio Nacional de Aprendizaje (SENA),Universidad Pedagógica y Tecnológica de Colombia,Universidad Pontificia Bolivariana,Universidad Tecnológica Indoamérica,Universidad de Palermo,Universidad Técnica Estatal de Quevedo,IDE Business School,Universidad Nacional de Tumbes,Universidad Estatal Penìnsula de Santa Elena,Universidad Del Pacifico - Ecuador,Universidad Estatal del Sur de Manabi,University of Houston,Texas A&M University,Heriot-Watt University,The University of Texas at Austin,King Fahd University of Petroleum & Minerals,Cairo University,Institut Teknologi Bandung,Savitribai Phule Pune University,Pontificia Universidad Javeriana,Imperial College London,Universiti Teknologi PETRONAS,Ain Shams University,The American University in Cairo,FGV - Fundação Getulio Vargas,ESPAE Graduate School of Management - ESPOL,Universidad Técnica de Manabí,Universidad Nacional de Chimborazo,Universidad Técnica de Cotopaxi,Higher Colleges of Technology,Karachi University,Universidade Paulista,University of Mumbai,Pontificia Universidad Católica del Perú,Universidad Peruana de Ciencias Aplicadas,Universidade Santa Cecília,Anna University,UNIMONTE,Suez Canal University,Universidad de Lima,British Columbia Institute of Technology,The Institute of Chartered Accountants of India,Universidad APEC,Universidad Nacional Mayor de San Marcos,Universidad Iberoamericana del Ecuador,Universidad Técnica de Babahoyo,Humane Instituto de Negocios,Tecnológico Universitario Espíritu Santo,Universidad Diego Portales,Universidad de A Coruna,Universidad de Guadalajara,International Baccalaureate,Escuela Superior Politécnica Agropecuaria de Manabí,UTEQ,Universidad EARTH,Pontificia Universidad Católica Madre y Maestra,Instituto Tecnológico de Santo Domingo,Florida International University,Universidad Iberoamericana,Florida Atlantic University,Universidad de Los Andes,Universidad Catolica Santo Domingo,Florida International University - College of Business,Universidad Autónoma de Santo Domingo,Politécnico Grancolombiano,Universidad Nacional Pedro Henríquez Ureña,Technological University Dublin,Universidad Nacional de Cuyo,Universidad Tecnológica Nacional,Universidad de La Salle,Universidad San Jorge,Universidad de Piura,Universidad de Chile,Instituto Tecnológico de Buenos Aires,Pontificia Universidad Católica de Chile,University of Buenos Aires,UADE,Universidad Nacional del Sur,Paris ESLSCA Business School,EAE Business School,National University of Engineering,TECSUP,Universidad ESAN,"Universidad Austral, Buenos Aires",Universidad Nacional de La Plata,CENTRUM PUCP,IAE Business School,Southwest Petroleum Institute,China University of Petroleum 中国石油大学(华东),University of the Punjab,Preston University,Xi'an Shiyou University,西安石油大学 Xi'an Shiyou University,Mehran University of Engineering and Technology,Southwest Petroleum University,University of Louisiana at Lafayette,Texas A&M University - Mays Business School,University of Stavanger,Robert Gordon University,Texas Tech University,Louisiana State University,Estácio,Universidad de Oriente (VE),University of Petroleum and Energy Studies,OBS Business School,Aden Business School,Universidad Autónoma de Quito,Universitat de Barcelona,Universidad Tecnológica Israel,Universidad Técnica Luis Vargas Torres de Esmeraldas,EAP Zamorano,Universidad Nacional de Colombia,Universidad Nacional Autónoma de Honduras,Tecnológico de Costa Rica,Universidad Autónoma de Nuevo León,Universidad Tecmilenio,Universidad Regiomontana S.C.,Universidad Privada del Norte,London Business School,IMD Business School,Universidade de São Paulo,Università Bocconi,ESPM Escola Superior de Propaganda e Marketing,Universidade Presbiteriana Mackenzie,Lahore University of Management Sciences,Delhi University,IESE Business School,Insper Instituto de Ensino e Pesquisa,Cisco Networking Academy,Universidad Externado de Colombia,Universidad de La Sabana,Universidad EAN,Politécnico Superior de Colombia,Universidad del Rosario,Universidad de San Martín de Porres,Fundación Universidad de Bogotá 'JorgeTadeo Lozano',Fundación Universitaria Los Libertadores,Universidad Piloto de Colombia,Universidad Militar Nueva Granada,Universidad Sergio Arboleda,Universidad Alas Peruanas,University of Michigan,Michigan State University,Wayne State University,Kettering University,Oakland University,Central Michigan University,University of Michigan-Dearborn,Purdue University,Lawrence Technological University,Eastern Michigan University,Walsh College,University of Michigan - Stephen M. Ross School of Business,The University Center of FEI,Universidad de Belgrano,ESIC Business & Marketing School,UC Centre for Entrepreneurship,Universidad Adolfo Ibáñez,Universidad Nacional de Trujillo,Universidad César Vallejo,INCAE Business School,Universidad Nacional Federico Villarreal,Toulouse Lautrec,Universidad Kennedy,Universidad Empresarial 'Siglo 21',Universidad del Pacífico (CL),Universidad Nacional de Educación a Distancia - U.N.E.D.,Universidad Nacional de Piura,COIIM Colegio Oficial de Ingenieros Industriales de Madrid,Universitat Politècnica de València (UPV),University of Alaska Fairbanks,Universidad Centroamericana 'José Simeón Cañas',Universidad de El Salvador,Universidad Tecnológica de El Salvador,The University of the West Indies,Universidad Dr. José Matías Delgado,"University of Technology, Jamaica","University of the West Indies, St. Augustine Campus",Universidad Don Bosco,"The University of the West Indies, Mona",Universidad Latina de Costa Rica,Universidad Mariano Gálvez,Universidad Francisco Gavidia,Universidad Técnica Nacional,INACAP,University of Mississippi - School of Business Administration,Coffeyville Community College,Universidad Tecnológica de Panamá,Universidad Latina de Panamá,Universidad de Panamá,Universidad Interamericana de Panamá,Universidad Especializada de Las Américas,Universidad del Pacífico (PE),Universidad Tecnológica del Perú,Warsaw University of Technology,Swinburne University of Technology,Universidad Técnica del Norte,Universidad Nacional del Callao,Universidade Estadual de Campinas,University of Indonesia,Econsultancy,Erasmus University Rotterdam,Indian Institute of Management Bangalore,Institute of Business Administration,Boğaziçi University,National Institute of Industrial Engineering,University of Valencia,Anhanguera Educacional,Universidad Mayor,Southeast University,11626,Universidad Tecnológica América,Universidad San Ignacio de Loyola,Politehnica University of Timisoara,Gheorghe Asachi Technical University of Iași,West University of Timisoara,Lucian Blaga University of Sibiu,Universitatea „Politehnica” din Timișoara,ITESO Universidad Jesuita de Guadalajara,Technische Universität Darmstadt,Leibniz Universität Hannover,Visvesvaraya Technological University,"Faculty of Technical Sciences, University of Novi Sad",RWTH Aachen University,"Ashridge Executive Education, Hult International Business School",Universidad Panamericana,Vermont Technical College,Universidad Internacional Iberoamericana de México (UNINI México),Universidad Cristiana Latinoamericana,Universidad Ricardo Palma,Universidad de La Rioja,Griffith University,KU Leuven,University of Victoria,Universidad de Almería,Université du Québec à Montréal,UBITS,Universidad Rey Juan Carlos,Escuela de Organización Industrial,"Universidad Tecnólogica de La Habana ""Jose Antonio Echeverría"", CUJAE",Universidad 'Santa María',Pepperdine University,Universidade Federal do Paraná,Broward College,Universidad Autonoma de Colombia,Universitat Politècnica de Catalunya,Centro de e-Learning UTN FRBA,Sun Yat-sen University,Universidad Tecnológica de Bolívar,Universidad del Valle (CO),Bond University,University of Westminster,Rollins College,University of Miami Herbert Business School,Universidad Austral de Chile,Universidad de Los Lagos,Universidad de Santiago de Chile,Universidad Nacional Experimental Francisco de Miranda
0,CORPORACION FAVORITA C.A.,40.0,37.0,35.0,31.0,30.0,30.0,28.0,21.0,15.0,15.0,14.0,14.0,13.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CONSORCIO ECUATORIANO DE TELECOMUNICACIONES  CONECEL,80.0,,17.0,13.0,10.0,11.0,18.0,,60.0,,86.0,,,,24.0,,15.0,,,,,,,,,,21.0,19.0,14.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CORPORACION EL ROSADO ,217.0,,27.0,24.0,11.0,,,,66.0,,123.0,15.0,,,31.0,,,,,,,,,,,,20.0,13.0,,,13.0,,,,,29.0,19.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HIDALGO E HIDALGO ,12.0,,,11.0,4.0,,4.0,,7.0,,12.0,,4.0,,,8.0,,,,3.0,2.0,,,,3.0,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,OTECEL ,5.0,4.0,,3.0,6.0,3.0,1.0,2.0,,,,,7.0,3.0,,,,,,,1.0,,,,,,,4.0,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,97.0,50.0,28.0,45.0,95.0,61.0,67.0,,36.0,,70.0,,81.0,61.0,,,61.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,INDUSTRIAL PESQUERA SANTA PRISCILA ,102.0,,17.0,4.0,,,,,24.0,,51.0,2.0,,,8.0,,,,,,,,,,,,3.0,,4.0,,,,,,,6.0,,15.0,,,,,,,,,,8.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HOLCIM ECUADOR ,47.0,4.0,16.0,,14.0,,,,30.0,5.0,64.0,,5.0,,,,8.0,,,,,,,,,,10.0,14.0,,,4.0,,,,,,4.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TIENDAS INDUSTRIALES ASOCIADAS TIA ,77.0,,10.0,,,,,,19.0,,85.0,7.0,,,8.0,,,,,,,,,,,,5.0,,5.0,,,,,,,8.0,14.0,,4.0,,,,,,,,6.0,,,,4.0,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"UNION CEMENTERA NACIONAL, UCEM ",5.0,,8.0,,4.0,,8.0,,3.0,,4.0,,5.0,4.0,,,3.0,6.0,9.0,,26.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
