NOMBRE,Customer Service,Microsoft Office,Microsoft Excel,Teamwork,Microsoft Word,Leadership,Strategic Planning,English,Project Management,Sales,Microsoft PowerPoint,Management,Team Leadership,Communication,Negotiation,Engineering,Business Strategy,Mining,Project Planning,AutoCAD,Telecommunications,Business Management,Change Management,Construction,Construction Management,Marketing,Sales Management,Social Media,Accountability,Research,Petroleum,Oil & Gas,Oilfield,Onshore Operations,Gas,Drilling,Offshore Drilling,Upstream,Petroleum Engineering,Energy,Analytical Skills,Logistics Management,Operations Management,Shipping,Supply Chain Management,Budgeting,Procurement,Adobe Photoshop,Spanish,SAP Products,Inspection,Completion,Pharmaceutics,Public Speaking,Pharmacy,Education,Lecturing,Proactive Monitoring,Competency Based Interviewing,Team Building,Fast-Moving Consumer Goods (FMCG),Marketing Strategy,Strategy,Networking,Linux,Cisco Systems Products,Hospitality,Automotive,Continuous Improvement,Manufacturing,Lean Manufacturing,Business Planning,Problem Solving,Customer Satisfaction,Graphic Design,Corporate Identity,Research and Development (R&D),Brand Loyalty,Radio Frequency (RF),Internet Protocol (IP),Consultative Selling,Internet Protocol Suite (TCP/IP),Team Management,C (Programming Language),C++,Product Development,Transportation,Aviation,Airlines,Commercial Aviation,Administrative Assistance,Customer-focused Service,Recruiting,Microsoft Project,Training,ITIL,Civil Engineering,Business Analysis,Process Improvement,Food Safety,Food & Beverage,Agriculture,Can Do Approach,SAP ERP,Financial Analysis,Autodesk Inventor,Project Engineering,SOLIDWORKS,Electrical Engineering,Hazard Analysis and Critical Control Points (HACCP),Windows Server,Java,Adaptation,Critical Thinking,Easily Adaptable,Proposal Leadership,New Business Development,Quality Control,Quality Assurance,Preventive Maintenance,Maritime,Hospitals,Retail Packaging,Electrical Controls,Cost Accounting,International Sales,Medical Devices,Adobe Premiere Pro,Sustainable Design,SketchUp,Revit,Urban Design,Architectural Design,Adobe Illustrator,Interior Design,Architecture,Front-end Development,JavaScript,PHP,Business Development,Data Analysis,Administration,Inventory Management,Inventory Control,Process Engineering,5S,Insurance,Law,Contract Management,Contractors,Human Resources (HR),Team Spirit,Bookkeeping,Journalism,Public Relations,Advertising,Editing,Account Reconciliation,Finance,Microsoft Outlook,Agribusiness,PHP Applications,"Environment, Health, and Safety (EHS)",Target Orientation,.NET Framework,Informix,PowerBuilder,Quantity Surveying,Dutch,Coaching,Offset Printing,Business-to-Business (B2B),Account Management,Magazines,Pre-press,Time Management,Telecommuting,Geographic Information Systems (GIS),Adobe InDesign,Product Management,Product Marketing,Windows,Wireless Communications Systems,Nutrition,Driving Results,Production Management,Personal Development,Medicine,Healthcare,Teaching,Social Media Marketing,Solution Selling,Digital Marketing,Financial Modeling,Fixed Assets,Financial Reporting,Good Manufacturing Practice (GMP),Standard Operating Procedure (SOP),Contract Negotiation,Purchasing,Sales & Marketing,Maritime Operations,Information Technology,International Shipping,Freight,Commissioning,Organizational Development,Renewable Energy,External Audit,Auditing,Business Control,Accounting,Customer Support,Liability,Business Insights,Computer Hardware Troubleshooting,Pipelines,Generally Accepted Accounting Principles (GAAP),Piping,Tax,Financial Statements,OHS,Talent Scouting,Interpersonal Communication,Mergers & Acquisitions (M&A),Acquisitions,International Business,Business,Strategic Alliances,Import,Sales Operations,Travel Arrangements,Financial Accounting,International Financial Reporting Standards (IFRS),Income Tax,Clerical Skills,Design,Planning,Decision-Making,Email,Command,Army,Engineers,Productivity Software,Purchase Management,Sellers,Flexible Schedule,Project Finance,Automation,Cabling,Photography,Process Management,Control Room,Electricity,Maintenance Management,Business Process Management,Supervisory Skills,Marketing Communications,Online Advertising,Art Direction,Creative Direction,Retail,Strategic Initiatives,Ports,Customer Relationship Management (CRM),Internal Communications,Occupational Health,Risk Assessment,Industrial Safety,Mineral Exploration,Structural Geology,ISO 14001,Computer-Aided Design (CAD),Accounts Payable,G/L Reconciliations,Invoicing,Internal Audit,Testing,Workplace Safety,Interpersonal Relationships,Laboratory Skills,Direct Sales,Architectural Lighting,Lighting,Go-to-market Strategy,Distribution,LED Lighting Systems,Lighting Design,Banking,Credit Analysis,Risk Management,Portuguese,Foreign Languages,Business Valuation,Impact Investing,Environmental Impact Assessment,Energy Industry,Email Marketing,Marketing Management,Business Process Improvement,Materials Management,People Management,Creative Problem Solving,Business Administration,Interpersonal Skills,Market Research,Market Analysis,Customer Acquisition,Financial Services,Production Planning,Cost Reduction,Purchase Orders,Material Requirements Planning (MRP),Microbiology,Business Intelligence (BI),Enterprise Resource Planning (ERP),Microsoft SQL Server,SQL,Business Process,MySQL,Oracle Database,HTML,Manufacturing Engineering,Contemporary Art,Fine Art,Industrial Engineering,Cross-functional Team Leadership,B2B Marketing,Visio,B2B2C,Google Ads,IBM SPSS,Online Marketing,Managerial Finance,Oil & Gas Industry,Entrepreneurship,Spreadsheets,Philosophy,Statistics,Pre-construction,Design-Build,EPC,Management Consulting,Quality Management,HTML5,PostgreSQL,SAP2000,Surveillance,Security Management,Security Operations,Access Control,Closed-Circuit Television (CCTV),Private Investigations,PHP Frameworks,jQuery,Chemistry,Python (Programming Language),OpenERP,Software Development,GitHub,PhpMyAdmin,Node.js,ERP Software,DevOps,Web Services API,Flask,Genexus,Unified Modeling Language (UML),Scrum,JavaServer Faces (JSF),JUnit,IT Service Management,Network Administration,Computer Hardware,Customs Regulations,Customer Communication,English as a Second Language (ESL),International Trade,Vendor Management,Relational Databases,Proposal Writing,Office 365,SharePoint,Consulting,Cloud Computing,C#,Integration,Performance Marketing,Facilitation,E-commerce,Digital Media,Pricing Strategy,Social Media Consulting,Prevention,Job Safety,Financial Risk,Brazilian Portuguese,University Teaching,Investment Advisory,Corporate Governance,Databases,Mathematics,Board of Directors,Credit,Content Management Systems (CMS)
CORPORACION FAVORITA C.A.,195,143,141,113,84,81,71,67,65,65,59,56,55,49,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECUACORRIENTE,17,49,42,18,23,,38,19,37,,21,,23,,20,23,20,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURELIAN ECUADOR,91,258,198,,105,,148,138,190,,85,81,117,,97,150,,133,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES   CONECEL,155,128,100,52,52,63,95,47,112,67,,46,134,,89,,68,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORACION QUIPORT,26,38,27,14,20,,28,23,18,,18,19,30,,24,,19,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORACION EL ROSADO,396,303,273,187,172,149,202,118,154,182,144,131,178,,138,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDALGO E HIDALGO,34,48,42,14,32,,25,17,30,,24,17,,,21,21,,,,22,,,,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTECEL,17,14,8,7,9,9,10,9,15,16,,,13,,8,,,,,,,,,,,10,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,353,442,411,,185,159,428,232,224,160,159,143,349,,315,,300,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL PESQUERA SANTA PRISCILA,86,105,122,63,72,48,53,48,55,,55,34,51,,40,,,,,,,,,,,,,,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
