,"Business Administration and Management, General",Engineering,"Computer and Information Sciences, General","Business/Commerce, General",Marketing,Psychology,"Administrative Assistant and Secretarial Science, General",International Business/Trade/Commerce,Computer and Information Sciences and Support Services,Economics,"Human Resources Management/Personnel Administration, General",Accounting,Auditing,"Finance, General","Communication, General",Mining and Mineral Engineering,"Geology/Earth Science, General",Environmental Studies,Electrical and Electronics Engineering,Electromechanical Engineering,Mining Technology/Technician,Mechanical Engineering,"Engineering Technology, General",Occupational Safety and Health Technology/Technician,"Foreign Languages and Literatures, General",Telecommunications Engineering,Industrial Safety Technology/Technician,Natural Sciences,Civil Engineering,Industrial Engineering,Project Management,Law,"Aerospace, Aeronautical and Astronautical Engineering","Aeronautics/Aviation/Aerospace Science and Technology, General",Research and Development Management,Accounting and Finance,Architecture,"Logistics, Materials, and Supply Chain Management",Structural Engineering,"Agriculture, General",Information Technology,Communication and Media Studies,Social Studies Teacher Education,Advertising,"Foods, Nutrition, and Wellness Studies, General",Chemical Engineering,Aquaculture,"Biology, General",Petroleum Engineering,Computer Science,Computational Science,Mathematics,Physical Sciences,Industrial Technology/Technician,Graphic Design,Electromechanical Technology/Electromechanical Engineering Technology,"Mechanics and Repairers, General",Industrial Mechanics and Maintenance Technology,"English Language and Literature, General",Petroleum Technology/Technician,Selling Skills and Sales Operations,Education,Chemistry,Agronomy and Crop Science,Computer Systems Networking and Telecommunications,Animal/Livestock Husbandry and Production,Food Science,Nutrition Sciences,Hydraulics and Fluid Power Technology/Technician,Pre-Engineering,Medicine,Organizational Leadership,"Mechatronics, Robotics, and Automation Engineering",Automobile/Automotive Mechanics Technology/Technician,"Computer Programming/Programmer, General",Computer Software Technology/Technician,Hotel/Motel Administration/Management,"Organizational Communication, General",Public Relations/Image Management,Physics,Intermedia/Multimedia,Social Sciences,Pharmacy,Social Work,Accounting and Related Services,"Marketing/Marketing Management, General",International Business,"Electrical, Electronics and Communications Engineering",Hospitality Administration/Management,Tourism and Travel Services Management,Journalism,Manufacturing Engineering,"Electrical/Electronics Equipment Installation and Repair, General","Specialized Sales, Merchandising and Marketing Operations",Automation Engineer Technology/Technician,Industrial Production Technologies/Technicians,Network and System Administration/Administrator,Web/Multimedia Management and Webmaster,Automotive Science and Technology,"Public Relations, Advertising, and Applied Communication",Artificial Intelligence,Management Sciences and Quantitative Methods,Elementary Education and Teaching,Humanities/Humanistic Studies,"General Sales, Merchandising and Related Marketing Operations",Electromechanical Instrumentation and Maintenance Technologies/Technicians,Management Science,Electronics,Physical Chemistry,Visual and Performing Arts,Maritime Studies,"Management Information Systems, General",English Language and Literature/Letters,Spanish Language and Literature,International/Global Studies,Food Science and Technology,International Finance,Agribusiness/Agricultural Business Operations,Secondary Education and Teaching,Agricultural Engineering,Tax Law/Taxation,Neurobiology and Behavior,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Fashion/Apparel Design,Farm/Farm and Ranch Management,Computer Systems Analysis/Analyst,"Health Services/Allied Health/Health Sciences, General",Industrial Electronics Technology/Technician,"Biology/Biological Sciences, General",Interior Design,Ceramic Arts and Ceramics,Biological and Biomedical Sciences,Data Processing and Data Processing Technology/Technician,"Business Administration, Management and Operations","Electrical, Electronic and Communications Engineering Technology/Technician",Geography and Cartography,Real Estate,Entrepreneurship/Entrepreneurial Studies,Welding Technology/Welder,Informatics,"Human Development and Family Studies, General",Political Science and Government,Geological/Geophysical Engineering,Energy Management and Systems Technology/Technician,Environmental Engineering Technology/Environmental Technology,Criminal Justice/Safety Studies,Geological and Earth Sciences/Geosciences,Construction Management,"System, Networking, and LAN/WAN Management/Manager",Ancient Studies/Civilization,International Relations and Affairs,Teaching English as a Second or Foreign Language/ESL Language Instructor,Construction,Accounting and Business/Management,Banking and Financial Support Services,Interior Architecture,Computer Software Engineering,Computer Hardware Technology/Technician,Statistics,Environmental/Environmental Health Engineering,Biotechnology,Systems Engineering,Mechanical Drafting and Mechanical Drafting CAD/CADD,Construction Engineering,Business/Corporate Communications,Fire Prevention and Safety Technology/Technician,Athletic Training/Trainer,Forestry,Russian Studies,"Modeling, Virtual Environments and Simulation",Curriculum and Instruction,"Linguistic, Comparative, and Related Language Studies and Services",CAD/CADD Drafting and/or Design Technology/Technician,Technology Teacher Education/Industrial Arts Teacher Education,Medicinal and Pharmaceutical Chemistry,Computer Systems Analysis,Quality Control Technology/Technician,Mechanical Engineering/Mechanical Technology/Technician,Food Preparation/Professional Cooking/Kitchen Assistant,Mechanical Engineering Related Technologies/Technicians,Electrician,Robotics Technology/Technician,Culinary Arts and Related Services,Biochemistry,Computer Support Specialist,Registered Nursing/Registered Nurse,Biomedical/Medical Engineering,Poultry Science,Radio and Television,Natural Resources Law Enforcement and Protective Services,Latin American Studies,"Communication, Journalism, and Related Programs",Foreign Language Teacher Education,Analytical Chemistry,Marine Transportation,"Cosmetology/Cosmetologist, General",Naval Architecture and Marine Engineering,Automotive Engineering Technology/Technician,Civil Engineering Technology/Technician,Taxation,French Studies,Telecommunications Technology/Technician,"Fine/Studio Arts, General","Purchasing, Procurement/Acquisitions and Contracts Management",Early Childhood Education and Teaching,Animal Sciences,Veterinary Medicine,Quality Control and Safety Technologies/Technicians,"City/Urban, Community and Regional Planning",Information Science/Studies,Natural Resource Recreation and Tourism,Marketing Research,Data Processing,Medical Imaging,Area Studies,"Legal Studies, General",Public Administration,Pharmaceutical Sciences,General Studies,Clinical/Medical Laboratory Assistant,Occupational Health and Industrial Hygiene,"Health and Wellness, General",Physical Fitness Technician,Sports Studies,Management Control,Epidemiology,Public Policy Analysis,Theology/Theological Studies,Regular/General High School/Secondary Diploma Program,Computer Engineering,Clinical Psychology,Pedagogy,Agroecology and Sustainable Agriculture,"Microbiology, General",Machine Tool Technology/Machinist,Finance and Financial Management Services,Engineering/Industrial Management,E-Commerce/Electronic Commerce,"Computer Programming, Specific Applications","Banking, Corporate, Finance, and Securities Law",Architectural and Building Sciences/Technology,Computer Graphics,History,Pharmacology,Higher Education/Higher Education Administration,"Traffic, Customs, and Transportation Clerk/Technician",Fashion,"Graphic and Printing Equipment Operator, General Production",Mass Communication/Media Studies,"Design and Visual Communications, General","Arts, Entertainment, and Media Management",Insurance,Italian Studies,Design and Applied Arts,"Art/Art Studies, General",Machining,Photography,Management Information Systems and Services,Portuguese Language and Literature,Philosophy,Industrial and Product Design,Dentistry,Kinesiology and Exercise Science,Architecture and Related Services,"Physiology, General",Ecology,Building Construction Technology,Metallurgical Engineering,Materials Science and Engineering,Consumer Economics,Public Speaking,Genetics,Hematology Technology/Technician,Agricultural Economics,Film/Cinema/Video Studies,"International Business, Trade, and Tax Law",Intellectual Property Law,Corporate Law,Medical Insurance Coding Specialist/Coder,Women's Studies,"Business, Management, Marketing, and Related Support Services",Bioengineering and Biomedical Engineering,Packaging Science,Welding Engineering Technology/Technician,Transportation and Materials Moving,Operations Management and Supervision,Telecommunications Management,Business/Managerial Economics,Ergonomics,"Biomedical Sciences, General",African-American/Black Studies,Geographic Information Science and Cartography,Mortuary Science and Embalming/Embalmer,Linguistics,Mathematics and Statistics,Digital Communication and Media/Multimedia
CORPORACION FAVORITA C.A.,96,40,25,25,24,22,21,21,18,18,18,14,12,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECUACORRIENTE,13,6,,,,,,,,,,,5,,,10,9,7,7,6,5,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURELIAN ECUADOR,65,31,,,,,17,,,,14,,,,,39,23,21,23,,18,24,,13,,,,20,19,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES   CONECEL,96,42,24,38,41,,12,18,15,20,,9,,13,,,,,15,,,,,,,40,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORACION QUIPORT,19,8,2,,8,,,,3,,,,,4,4,,,2,,,,,,,,,,,3,,5,,7,7,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORACION EL ROSADO,156,83,52,75,51,,27,26,33,44,,44,22,23,,,,,,,,,,,,,,22,,33,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDALGO E HIDALGO,10,6,3,,,,,,7,,,,,,3,,,3,,,,8,,3,,,,,17,5,3,,,,,,2,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTECEL,17,2,2,4,8,,2,,4,3,,,,2,2,,,,,,,,,,,3,,,,,,,,,,,1,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA,241,86,38,72,90,,37,,,43,26,51,41,58,,,,,,,,,,,,,,,,44,,,,,,26,,30,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL PESQUERA SANTA PRISCILA,41,22,14,16,13,,,11,6,9,,13,8,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,8,16,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
